"기준_년분기_코드","자치구명","행정동_코드","행정동_코드_명","총_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","연령대_10_유동인구_비율","연령대_20_유동인구_비율","연령대_30_유동인구_비율","연령대_40_유동인구_비율","연령대_50_유동인구_비율","연령대_60_이상_유동인구_비율"
"2023Q4","강남구","11680740","일원2동","1138713","269417","108410","161564","222234","161262","215824","23.6598","9.5204","14.1883","19.5162","14.1618","18.9533"
"2023Q4","강남구","11680730","일원1동","2571614","360241","340584","426536","440330","382677","621247","14.0084","13.244","16.5863","17.1227","14.8808","24.1579"
"2023Q4","강남구","11680720","일원본동","2520904","699165","201457","262019","441647","355527","561091","27.7347","7.9915","10.3939","17.5194","14.1032","22.2575"
"2023Q4","강남구","11680700","세곡동","3525530","973677","336084","490208","597496","413681","714383","27.6179","9.5329","13.9045","16.9477","11.7339","20.2631"
"2023Q4","강남구","11680690","개포4동","3544246","631244","423166","585774","616357","600205","687499","17.8104","11.9395","16.5275","17.3904","16.9346","19.3976"
"2023Q4","강남구","11680670","개포2동","2037926","466388","190685","261388","369680","297289","452496","22.8854","9.3568","12.8262","18.14","14.5878","22.2038"
"2023Q4","강남구","11680660","개포1동","881528","200256","68512","105955","167179","131464","208161","22.7169","7.772","12.0195","18.9647","14.9132","23.6137"
"2023Q4","강남구","11680656","도곡2동","3748782","885892","363391","487025","763835","568306","680332","23.6315","9.6936","12.9916","20.3756","15.1598","18.1481"
"2023Q4","강남구","11680655","도곡1동","7389619","1540668","836840","1192416","1420782","1055487","1343427","20.8491","11.3245","16.1364","19.2267","14.2834","18.1799"
"2023Q4","강남구","11680650","역삼2동","12114261","2487074","1731965","2212132","2603710","1622668","1456714","20.5301","14.2969","18.2606","21.4929","13.3947","12.0248"
"2023Q4","강남구","11680640","역삼1동","20851949","1221640","4882533","5806117","4233286","2460344","2248031","5.8586","23.4152","27.8445","20.3016","11.7991","10.7809"
"2023Q4","강남구","11680630","대치4동","10010985","2541761","1382197","1645415","1960761","1361599","1119253","25.3897","13.8068","16.4361","19.5861","13.601","11.1802"
"2023Q4","강남구","11680610","대치2동","5962744","1595016","719021","936545","1193986","779929","738247","26.7497","12.0586","15.7066","20.0241","13.08","12.381"
"2023Q4","강남구","11680600","대치1동","4655576","1873415","345918","330054","926835","587192","592164","40.2402","7.4302","7.0894","19.9081","12.6127","12.7195"
"2023Q4","강남구","11680590","삼성2동","9305854","1518142","1261511","1879637","2046693","1310418","1289453","16.3138","13.5561","20.1984","21.9936","14.0817","13.8564"
"2023Q4","강남구","11680580","삼성1동","4659277","573428","690606","1048265","1006013","666713","674251","12.3072","14.8222","22.4984","21.5916","14.3094","14.4712"
